variable,horizon,lower,median,upper,model
TFP,35,-0.1804,-0.0579,0.0326,bayesian_fd
TFP,36,-0.1759,-0.0557,0.0343,bayesian_fd
TFP,37,-0.1726,-0.0556,0.0339,bayesian_fd
TFP,38,-0.1693,-0.0549,0.035,bayesian_fd
TFP,39,-0.167,-0.0531,0.0361,bayesian_fd
TFP,40,-0.166,-0.0521,0.0367,bayesian_fd
output,1,-0.676,-0.6283,-0.5848,bayesian_td4
output,2,-0.7074,-0.6492,-0.5995,bayesian_td4
output,3,-0.7116,-0.6404,-0.5813,bayesian_td4
output,4,-0.6991,-0.612,-0.5456,bayesian_td4
output,5,-0.6761,-0.5755,-0.4973,bayesian_td4
output,6,-0.6445,-0.5328,-0.4453,bayesian_td4
output,7,-0.609,-0.486,-0.3902,bayesian_td4
output,8,-0.5707,-0.4398,-0.3345,bayesian_td4
output,9,-0.5303,-0.3912,-0.2781,bayesian_td4
output,10,-0.4925,-0.3432,-0.2255,bayesian_td4
output,11,-0.4553,-0.3031,-0.174,bayesian_td4
output,12,-0.4206,-0.2634,-0.1298,bayesian_td4
output,13,-0.3882,-0.2275,-0.0863,bayesian_td4
output,14,-0.3599,-0.1944,-0.0494,bayesian_td4
output,15,-0.3372,-0.1686,-0.0192,bayesian_td4
output,16,-0.3204,-0.1481,0.0061,bayesian_td4
output,17,-0.3093,-0.13,0.028,bayesian_td4
output,18,-0.293,-0.1179,0.0464,bayesian_td4
output,19,-0.2815,-0.1051,0.0545,bayesian_td4
output,20,-0.275,-0.0968,0.062,bayesian_td4
output,21,-0.2724,-0.0925,0.0653,bayesian_td4
output,22,-0.2725,-0.0913,0.0672,bayesian_td4
output,23,-0.2704,-0.0957,0.0675,bayesian_td4
output,24,-0.2691,-0.0978,0.0625,bayesian_td4
output,25,-0.2707,-0.103,0.0566,bayesian_td4
output,26,-0.2757,-0.1084,0.0517,bayesian_td4
output,27,-0.2796,-0.1123,0.0448,bayesian_td4
output,28,-0.2861,-0.1195,0.0383,bayesian_td4
output,29,-0.2923,-0.1268,0.0313,bayesian_td4
output,30,-0.298,-0.1326,0.0259,bayesian_td4
output,31,-0.3026,-0.1417,0.0196,bayesian_td4
output,32,-0.3102,-0.146,0.0114,bayesian_td4
output,33,-0.316,-0.1502,0.0058,bayesian_td4
output,34,-0.3207,-0.1535,0.0021,bayesian_td4
output,35,-0.3221,-0.1573,-0.004,bayesian_td4
output,36,-0.324,-0.1597,-0.009,bayesian_td4
output,37,-0.3267,-0.1604,-0.0124,bayesian_td4
output,38,-0.3292,-0.1632,-0.0143,bayesian_td4
output,39,-0.3326,-0.1659,-0.0164,bayesian_td4
output,40,-0.3341,-0.1691,-0.0199,bayesian_td4
investment,1,-2.4674,-2.3142,-2.1529,bayesian_td4
investment,2,-2.5649,-2.3745,-2.1942,bayesian_td4
investment,3,-2.4454,-2.2172,-2.0049,bayesian_td4
investment,4,-2.2752,-2.0059,-1.7602,bayesian_td4
investment,5,-2.0898,-1.7796,-1.4952,bayesian_td4
investment,6,-1.8756,-1.5438,-1.226,bayesian_td4
investment,7,-1.6493,-1.3049,-0.9636,bayesian_td4
investment,8,-1.4357,-1.0683,-0.7104,bayesian_td4
investment,9,-1.2335,-0.8538,-0.4879,bayesian_td4
investment,10,-1.0391,-0.6455,-0.2801,bayesian_td4
investment,11,-0.8687,-0.4659,-0.0838,bayesian_td4
investment,12,-0.7177,-0.3109,0.104,bayesian_td4
investment,13,-0.5878,-0.1734,0.2367,bayesian_td4
investment,14,-0.502,-0.0591,0.3605,bayesian_td4
investment,15,-0.3966,0.035,0.4511,bayesian_td4
investment,16,-0.3292,0.0997,0.5109,bayesian_td4
