h,impulse,response,irf,model,version
35,Main,consumption,-0.12844875732582,classical_fd,Replication
35,Main,hours_worked,0.0243170400700121,classical_fd,Replication
35,Main,unemployment,0.0250648004373378,classical_fd,Replication
35,Main,labor_share,0.0156963975631323,classical_fd,Replication
35,Main,interest,0.00922091516802583,classical_fd,Replication
35,Main,inflation,0.000444202761438416,classical_fd,Replication
35,Main,productivity,-0.166248623803984,classical_fd,Replication
35,Main,TFP,-0.0958527862123411,classical_fd,Replication
36,Main,output,-0.120601443187193,classical_fd,Replication
36,Main,investment,-0.118387009373569,classical_fd,Replication
36,Main,consumption,-0.127803277665609,classical_fd,Replication
36,Main,hours_worked,0.0261747565540419,classical_fd,Replication
36,Main,unemployment,0.0237037895985786,classical_fd,Replication
36,Main,labor_share,0.0160629742048117,classical_fd,Replication
36,Main,interest,0.00867604756475257,classical_fd,Replication
36,Main,inflation,-2.79854423941619e-05,classical_fd,Replication
36,Main,productivity,-0.167137154574139,classical_fd,Replication
36,Main,TFP,-0.0977996219676997,classical_fd,Replication
37,Main,output,-0.118672727487966,classical_fd,Replication
37,Main,investment,-0.110582493818872,classical_fd,Replication
37,Main,consumption,-0.126898626989193,classical_fd,Replication
37,Main,hours_worked,0.0281995209330561,classical_fd,Replication
37,Main,unemployment,0.0222226561285957,classical_fd,Replication
37,Main,labor_share,0.0166292380584473,classical_fd,Replication
37,Main,interest,0.00818245101414188,classical_fd,Replication
37,Main,inflation,-0.000441383131948029,classical_fd,Replication
37,Main,productivity,-0.167948964892168,classical_fd,Replication
37,Main,TFP,-0.0994037590376488,classical_fd,Replication
38,Main,output,-0.116563494331094,classical_fd,Replication
38,Main,investment,-0.102616508338974,classical_fd,Replication
38,Main,consumption,-0.125770132572836,classical_fd,Replication
38,Main,hours_worked,0.0303331046545243,classical_fd,Replication
38,Main,unemployment,0.0206579718438225,classical_fd,Replication
38,Main,labor_share,0.0173740868400154,classical_fd,Replication
38,Main,interest,0.00773632251647991,classical_fd,Replication
38,Main,inflation,-0.000800414690089214,classical_fd,Replication
38,Main,productivity,-0.168677201495145,classical_fd,Replication
38,Main,TFP,-0.100686424211975,classical_fd,Replication
39,Main,output,-0.114321418965777,classical_fd,Replication
39,Main,investment,-0.0946620818432081,classical_fd,Replication
39,Main,consumption,-0.124451200258319,classical_fd,Replication
39,Main,hours_worked,0.0325230130945127,classical_fd,Replication
39,Main,unemployment,0.0190429037752324,classical_fd,Replication
39,Main,labor_share,0.0182734383501529,classical_fd,Replication
39,Main,interest,0.00733359897256275,classical_fd,Replication
39,Main,inflation,-0.00110958576321668,classical_fd,Replication
39,Main,productivity,-0.169313976994775,classical_fd,Replication
39,Main,TFP,-0.10166970077646,classical_fd,Replication
40,Main,output,-0.111988347538229,classical_fd,Replication
40,Main,investment,-0.0868617522047836,classical_fd,Replication
40,Main,consumption,-0.122972982502294,classical_fd,Replication
40,Main,hours_worked,0.0347229037850415,classical_fd,Replication
40,Main,unemployment,0.0174069614937611,classical_fd,Replication
40,Main,labor_share,0.0193014174900456,classical_fd,Replication
40,Main,interest,0.00697013740195953,classical_fd,Replication
40,Main,inflation,-0.00137340254833619,classical_fd,Replication
40,Main,productivity,-0.169850983120371,classical_fd,Replication
40,Main,TFP,-0.102376115002881,classical_fd,Replication
1,Main,output,-0.479022703839807,classical_fd,Original BCA
2,Main,output,-0.655471772134727,classical_fd,Original BCA
3,Main,output,-0.673116157677471,classical_fd,Original BCA
4,Main,output,-0.595568715629414,classical_fd,Original BCA
5,Main,output,-0.474257570947953,classical_fd,Original BCA
6,Main,output,-0.342128769533606,classical_fd,Original BCA
7,Main,output,-0.220258033887869,classical_fd,Original BCA
8,Main,output,-0.119815172697827,classical_fd,Original BCA
9,Main,output,-0.0449201635743348,classical_fd,Original BCA
10,Main,output,0.00498547335491287,classical_fd,Original BCA
11,Main,output,0.0331156992632864,classical_fd,Original BCA
12,Main,output,0.0438893650578741,classical_fd,Original BCA
13,Main,output,0.0419131829559545,classical_fd,Original BCA
14,Main,output,0.031381373898431,classical_fd,Original BCA
15,Main,output,0.0157687760580408,classical_fd,Original BCA
16,Main,output,-0.00225904371649851,classical_fd,Original BCA
17,Main,output,-0.0208043393117077,classical_fd,Original BCA
18,Main,output,-0.0386231019319379,classical_fd,Original BCA
19,Main,output,-0.054984182190062,classical_fd,Original BCA
20,Main,output,-0.069529759209124,classical_fd,Original BCA
21,Main,output,-0.0821536986993266,classical_fd,Original BCA
22,Main,output,-0.0929046863444178,classical_fd,Original BCA
23,Main,output,-0.101915074284495,classical_fd,Original BCA
24,Main,output,-0.109352682723336,classical_fd,Original BCA
25,Main,output,-0.115391141274141,classical_fd,Original BCA
26,Main,output,-0.120193941664782,classical_fd,Original BCA
27,Main,output,-0.123907778790644,classical_fd,Original BCA
28,Main,output,-0.126661548028477,classical_fd,Original BCA
29,Main,output,-0.128568285589707,classical_fd,Original BCA
30,Main,output,-0.129728204946326,classical_fd,Original BCA
31,Main,output,-0.13023170820219,classical_fd,Original BCA
32,Main,output,-0.13016180153063,classical_fd,Original BCA
33,Main,output,-0.129595723080548,classical_fd,Original BCA
34,Main,output,-0.128605824355117,classical_fd,Original BCA
35,Main,output,-0.127259865390316,classical_fd,Original BCA
36,Main,output,-0.125620923832858,classical_fd,Original BCA
37,Main,output,-0.123747107962808,classical_fd,Original BCA
38,Main,output,-0.121691227268084,classical_fd,Original BCA
39,Main,output,-0.119500528187341,classical_fd,Original BCA
40,Main,output,-0.11721655792021,classical_fd,Original BCA
1,Main,investment,-1.5805509112566,classical_fd,Original BCA
2,Main,investment,-2.32223566202578,classical_fd,Original BCA
3,Main,investment,-2.35409906996496,classical_fd,Original BCA
4,Main,investment,-1.97748667566868,classical_fd,Original BCA
5,Main,investment,-1.42902127513678,classical_fd,Original BCA
6,Main,investment,-0.855419903091662,classical_fd,Original BCA
7,Main,investment,-0.343405007777147,classical_fd,Original BCA
8,Main,investment,0.0637213857611423,classical_fd,Original BCA
9,Main,investment,0.353801422991421,classical_fd,Original BCA
10,Main,investment,0.533863487057589,classical_fd,Original BCA
11,Main,investment,0.62127592674613,classical_fd,Original BCA
12,Main,investment,0.637356600393073,classical_fd,Original BCA
13,Main,investment,0.603201045813998,classical_fd,Original BCA
14,Main,investment,0.537318147074575,classical_fd,Original BCA
15,Main,investment,0.454565153146747,classical_fd,Original BCA
16,Main,investment,0.365972628434555,classical_fd,Original BCA
17,Main,investment,0.279093103489237,classical_fd,Original BCA
18,Main,investment,0.198610399928659,classical_fd,Original BCA
19,Main,investment,0.127022062335953,classical_fd,Original BCA
20,Main,investment,0.0652813026349331,classical_fd,Original BCA
21,Main,investment,0.0133378554709386,classical_fd,Original BCA
22,Main,investment,-0.0294435332388424,classical_fd,Original BCA
23,Main,investment,-0.0639839392486172,classical_fd,Original BCA
24,Main,investment,-0.0912936547792661,classical_fd,Original BCA
25,Main,investment,-0.112355906956309,classical_fd,Original BCA
26,Main,investment,-0.128068348870473,classical_fd,Original BCA
27,Main,investment,-0.139222520559616,classical_fd,Original BCA
28,Main,investment,-0.146505559470294,classical_fd,Original BCA
29,Main,investment,-0.150512765979357,classical_fd,Original BCA
30,Main,investment,-0.151763521000784,classical_fd,Original BCA
31,Main,investment,-0.150716194512255,classical_fd,Original BCA
32,Main,investment,-0.147779989495461,classical_fd,Original BCA
33,Main,investment,-0.143323198457397,classical_fd,Original BCA
34,Main,investment,-0.13767824547058,classical_fd,Original BCA
35,Main,investment,-0.131144307036438,classical_fd,Original BCA
36,Main,investment,-0.123988404019179,classical_fd,Original BCA
37,Main,investment,-0.116445764279624,classical_fd,Original BCA
38,Main,investment,-0.108720070363296,classical_fd,Original BCA
39,Main,investment,-0.100983996999209,classical_fd,Original BCA
40,Main,investment,-0.0933802511249358,classical_fd,Original BCA
1,Main,consumption,-0.223830155864779,classical_fd,Original BCA
2,Main,consumption,-0.309839719938502,classical_fd,Original BCA
3,Main,consumption,-0.333767692491119,classical_fd,Original BCA
4,Main,consumption,-0.324653183096697,classical_fd,Original BCA
5,Main,consumption,-0.293875064939619,classical_fd,Original BCA
6,Main,consumption,-0.251625119960634,classical_fd,Original BCA
7,Main,consumption,-0.206091056046585,classical_fd,Original BCA
8,Main,consumption,-0.163070165191526,classical_fd,Original BCA
9,Main,consumption,-0.126127146405455,classical_fd,Original BCA
10,Main,consumption,-0.0969690842350432,classical_fd,Original BCA
11,Main,consumption,-0.0759200976420943,classical_fd,Original BCA
12,Main,consumption,-0.0623950532176815,classical_fd,Original BCA
13,Main,consumption,-0.0552960830879679,classical_fd,Original BCA
