f,fevdfd,impulse,response
1.92457928328023,0.0156556899208446,Main,output
1.9308687580622,0.0157695080403779,Main,output
1.93715823284416,0.0158851917675633,Main,output
1.94344770762612,0.0160027172665078,Main,output
1.94973718240808,0.0161220607136356,Main,output
1.95602665719004,0.0162431983026777,Main,output
1.962316131972,0.0163661062494185,Main,output
1.96860560675396,0.0164907607961996,Main,output
1.97489508153593,0.0166171382161835,Main,output
1.98118455631789,0.0167452148173788,Main,output
1.98747403109985,0.0168749669464309,Main,output
1.99376350588181,0.017006370992179,Main,output
2.00005298066377,0.0171394033889837,Main,output
2.00634245544573,0.0172740406198296,Main,output
2.0126319302277,0.0174102592192034,Main,output
2.01892140500966,0.0175480357757543,Main,output
2.02521087979162,0.017687346934739,Main,output
2.03150035457358,0.0178281694002554,Main,output
2.03778982935554,0.0179704799372697,Main,output
2.0440793041375,0.0181142553734409,Main,output
2.05036877891946,0.0182594726007469,Main,output
2.05665825370143,0.0184061085769166,Main,output
